kfwd_log__,rxn_log____0,rxn_log____1,rxn_log____2,rxn_log____3,rxn_log____4,rxn_log____5,rxn_log____6,rxn_log____7,endo_log____0,endo_log____1,kRec_kDeg_log____0,kRec_kDeg_log____1,IL2Raexpr_log____0,IL2Raexpr_log____1,IL2Raexpr_log____2,IL2Raexpr_log____3,sortF_logodds__,kfwd,rxn__0,rxn__1,rxn__2,rxn__3,rxn__4,rxn__5,rxn__6,rxn__7,endo__0,endo__1,kRec_kDeg__0,kRec_kDeg__1,IL2Raexpr__0,IL2Raexpr__1,IL2Raexpr__2,IL2Raexpr__3,sortF,Y_int,logp
-9.085524225,-2.258339389,-2.378439094,-2.370757289,-2.244239302,-2.458581193,-2.332590572,-2.162278318,-2.405119264,-2.284258821,-2.174320212,-2.282942408,-2.254604201,0.081231161,0.015339325,-0.002332053,0.231383411,-0.6649908,0.000113294,0.104523914,0.092695153,0.093409961,0.10600815,0.085556253,0.097044022,0.115062673,0.090254731,0.101849523,0.113685409,0.101983687,0.104915061,1.08462159,1.015457576,0.997670664,1.260342376,0.33961939,3.414795567,3.698535853
-9.182541669,-2.325569516,-2.47957038,-2.21827125,-2.284758662,-2.384726069,-2.429051997,-2.258520642,-2.222074046,-2.23544606,-2.468020579,-2.310258526,-2.522665942,0.206707679,0.145667736,0.071160965,-0.09830746,-0.675333965,0.000102819,0.097727771,0.083779211,0.108797029,0.101798627,0.092114209,0.088120331,0.104504971,0.108384082,0.106944416,0.084752454,0.099235593,0.080245392,1.229623074,1.156811758,1.073754049,0.906370189,0.337303508,3.413469585,0.529971444
-9.310809404,-2.368091136,-2.102774957,-2.484721696,-2.357462023,-2.27127097,-2.626433838,-2.445877599,-2.282984539,-2.507348122,-2.263772315,-2.175548784,-2.194598864,-0.003372477,0.026317915,-0.017044982,0.145618847,-1.077447237,9.04E-05,0.093659339,0.122117088,0.083348748,0.094660164,0.103180957,0.072335965,0.086650057,0.101979391,0.081484039,0.103957583,0.113545824,0.11140324,0.996633204,1.02666729,0.983099462,1.156755203,0.253989407,3.40899347,-4.392469159
-9.307393735,-2.442768929,-2.437993617,-2.397516625,-2.207599907,-2.406171612,-2.429937705,-2.218863838,-2.400124774,-2.332263268,-2.520052753,-2.186698729,-2.249261569,0.039537581,-0.19769271,-0.030916948,0.096770407,-1.207115761,9.08E-05,0.086919843,0.087335905,0.09094352,0.109964256,0.090159801,0.088042317,0.108732576,0.090706635,0.09707579,0.080455362,0.112286827,0.105477083,1.040329594,0.820621983,0.969556093,1.101607423,0.230211782,3.408248942,-0.779842163
-9.218234617,-2.032962579,-2.389303262,-2.233236832,-2.198511278,-2.314918739,-2.205048241,-2.239975192,-2.161058541,-2.172996998,-2.530037856,-2.126278872,-2.129520416,-0.233135698,0.071193387,0.040258646,-0.141626045,-1.007128911,9.92E-05,0.130947005,0.091693548,0.107180941,0.110968236,0.09877421,0.110245207,0.106461145,0.115203109,0.113835939,0.079656005,0.119280326,0.1188943,0.792046087,1.073788862,1.041080011,0.867945768,0.267542103,3.414016313,-5.600503252
-9.310980643,-2.280001442,-2.313791061,-2.030249824,-2.342728479,-2.361457011,-2.385559409,-2.619409746,-2.264009725,-2.268419231,-2.395250139,-2.571284362,-2.181687443,0.097908883,-0.135940694,0.053314545,-0.043247448,-0.838197103,9.04E-05,0.102284059,0.098885658,0.131302715,0.096065169,0.094282752,0.092037479,0.072845848,0.103932906,0.103475622,0.091149876,0.076437309,0.11285094,1.102862291,0.872894399,1.054761363,0.957674386,0.301914631,3.419772806,-4.546613206
-9.042156021,-2.117339305,-2.156551341,-2.129788365,-2.394485623,-2.338822884,-2.411387054,-2.012125316,-2.159382106,-2.201990695,-2.329853033,-2.349622217,-2.258347315,-0.184831691,-0.071211423,0.039259257,-0.096200943,-0.797590232,0.000118315,0.120351421,0.115723525,0.118862447,0.091219588,0.096441094,0.089690802,0.133704209,0.115396402,0.110582803,0.097310047,0.095405198,0.104523086,0.831244178,0.93126498,1.040040087,0.908281485,0.310541228,3.416547942,-3.315082498
-9.086631323,-2.218189062,-2.199718722,-2.202355183,-2.181600641,-2.396745471,-2.177688027,-2.246266074,-2.294313216,-2.146286543,-2.333427943,-2.356027065,-2.45619128,-0.031447653,0.029255193,-0.00281789,-0.11430005,-0.913144759,0.000113169,0.108805971,0.110834329,0.110542504,0.112860737,0.091013678,0.113303182,0.105793513,0.100830618,0.116917521,0.096962794,0.094796095,0.085760969,0.969041681,1.02968733,0.997186077,0.891990274,0.286356754,3.415459763,4.109126802
-9.176034529,-2.333188381,-2.555585496,-2.292215353,-2.145533462,-2.287232877,-2.29120138,-2.27006731,-2.171666514,-2.389180782,-2.408414172,-2.259419789,-2.646003205,-0.079446282,0.084317021,0.023628993,-0.204535112,-0.39867499,0.00010349,0.096986025,0.077646757,0.101042369,0.117005602,0.101547067,0.101144875,0.103305226,0.113987497,0.091704779,0.089957839,0.104411048,0.070934157,0.923627634,1.08797375,1.02391037,0.815026124,0.401630729,3.411346203,-3.721444425
-9.124279422,-2.349307177,-2.256977251,-2.389254889,-2.367063483,-2.355321133,-2.310348536,-2.425394803,-2.159766991,-2.180837749,-2.468890071,-2.212087826,-2.239088075,-0.208134364,-0.083079793,-0.020055633,-0.046502542,-0.463122847,0.000108987,0.095435259,0.104666387,0.091697984,0.093755638,0.094863038,0.099226661,0.088443195,0.115351996,0.11294687,0.084678794,0.109471852,0.106555631,0.812097912,0.920277713,0.980144143,0.954562134,0.38624526,3.419951029,3.177143773
