FITC-A,Pacific Blue-A,0
PE-A,Pacific Blue-A,0
BV605-A,Pacific Blue-A,0.5
Alexa Fluor 647-A,Pacific Blue-A,0
Alexa Fluor 700-A,Pacific Blue-A,0
APC-Cy7-A,Pacific Blue-A,0
Pacific Blue-A,FITC-A,0
PE-A,FITC-A,12.58
BV605-A,FITC-A,0
Alexa Fluor 647-A,FITC-A,0
Alexa Fluor 700-A,FITC-A,0
APC-Cy7-A,FITC-A,0
Pacific Blue-A,PE-A,0
FITC-A,PE-A,1.53
BV605-A,PE-A,13.41
Alexa Fluor 647-A,PE-A,0
Alexa Fluor 700-A,PE-A,0
APC-Cy7-A,PE-A,0
Pacific Blue-A,BV605-A,2.5
FITC-A,BV605-A,0
PE-A,BV605-A,0
Alexa Fluor 647-A,BV605-A,0
Alexa Fluor 700-A,BV605-A,0
APC-Cy7-A,BV605-A,0
Pacific Blue-A,Alexa Fluor 647-A,0
FITC-A,Alexa Fluor 647-A,0.25
PE-A,Alexa Fluor 647-A,2.5
BV605-A,Alexa Fluor 647-A,0
Alexa Fluor 700-A,Alexa Fluor 647-A,274
APC-Cy7-A,Alexa Fluor 647-A,50.24
Pacific Blue-A,Alexa Fluor 700-A,0
FITC-A,Alexa Fluor 700-A,0
PE-A,Alexa Fluor 700-A,0
BV605-A,Alexa Fluor 700-A,0
Alexa Fluor 647-A,Alexa Fluor 700-A,0
APC-Cy7-A,Alexa Fluor 700-A,0
Pacific Blue-A,APC-Cy7-A,0
FITC-A,APC-Cy7-A,0
PE-A,APC-Cy7-A,0
BV605-A,APC-Cy7-A,0
Alexa Fluor 647-A,APC-Cy7-A,0
Alexa Fluor 700-A,APC-Cy7-A,0
