Dose,Bin,Time,Mean,Date,NumCells,Cell,Ligand,Bivalent
84.0,1,4.0,23702.027,11/8/2019,171,Treg,WT N-term,0.0
84.0,2,4.0,31526.48,11/8/2019,202,Treg,WT N-term,0.0
84.0,3,4.0,34776.363,11/8/2019,108,Treg,WT N-term,0.0
28.0,1,4.0,24453.25,11/8/2019,224,Treg,WT N-term,0.0
28.0,2,4.0,28197.23,11/8/2019,288,Treg,WT N-term,0.0
28.0,3,4.0,28906.758,11/8/2019,130,Treg,WT N-term,0.0
9.333333,1,4.0,22011.053,11/8/2019,199,Treg,WT N-term,0.0
9.333333,2,4.0,23573.543,11/8/2019,257,Treg,WT N-term,0.0
9.333333,3,4.0,27939.047,11/8/2019,98,Treg,WT N-term,0.0
3.111,1,4.0,19887.338,11/8/2019,191,Treg,WT N-term,0.0
3.111,2,4.0,24251.041,11/8/2019,281,Treg,WT N-term,0.0
3.111,3,4.0,26924.688,11/8/2019,116,Treg,WT N-term,0.0
1.037037,1,4.0,19186.305,11/8/2019,154,Treg,WT N-term,0.0
1.037037,2,4.0,22499.39,11/8/2019,173,Treg,WT N-term,0.0
1.037037,3,4.0,27810.035,11/8/2019,68,Treg,WT N-term,0.0
0.345679,1,4.0,17605.611,11/8/2019,220,Treg,WT N-term,0.0
0.345679,2,4.0,22175.455,11/8/2019,285,Treg,WT N-term,0.0
0.345679,3,4.0,28974.031,11/8/2019,134,Treg,WT N-term,0.0
0.115226,1,4.0,13317.598,11/8/2019,166,Treg,WT N-term,0.0
0.115226,2,4.0,19052.666,11/8/2019,264,Treg,WT N-term,0.0
0.115226,3,4.0,26064.68,11/8/2019,110,Treg,WT N-term,0.0
0.038409,1,4.0,9655.838,11/8/2019,182,Treg,WT N-term,0.0
0.038409,2,4.0,19274.738,11/8/2019,263,Treg,WT N-term,0.0
0.038409,3,4.0,29731.363,11/8/2019,101,Treg,WT N-term,0.0
0.012803,1,4.0,7145.4463,11/8/2019,264,Treg,WT N-term,0.0
0.012803,2,4.0,12473.879,11/8/2019,293,Treg,WT N-term,0.0
0.012803,3,4.0,21883.225,11/8/2019,167,Treg,WT N-term,0.0
0.004268,1,4.0,1748.7871,11/8/2019,273,Treg,WT N-term,0.0
0.004268,2,4.0,6788.629,11/8/2019,288,Treg,WT N-term,0.0
0.004268,3,4.0,12168.951,11/8/2019,140,Treg,WT N-term,0.0
0.001423,1,4.0,635.7461,11/8/2019,82,Treg,WT N-term,0.0
