kfwd_log__,rxn_log____0,rxn_log____1,rxn_log____2,rxn_log____3,rxn_log____4,rxn_log____5,rxn_log____6,rxn_log____7,endo_log____0,endo_log____1,kRec_kDeg_log____0,kRec_kDeg_log____1,IL2Raexpr_log____0,IL2Raexpr_log____1,IL2Raexpr_log____2,IL2Raexpr_log____3,sortF_logodds__,kfwd,rxn__0,rxn__1,rxn__2,rxn__3,rxn__4,rxn__5,rxn__6,rxn__7,endo__0,endo__1,kRec_kDeg__0,kRec_kDeg__1,IL2Raexpr__0,IL2Raexpr__1,IL2Raexpr__2,IL2Raexpr__3,sortF,Y_15,logp
-9.312868015,-2.17883562,-2.258350461,-2.377934647,-3.616844727,-1.034415443,2.604207136,-2.332590572,-2.162278318,-2.221380737,-2.28722261,-2.253901055,-2.286202472,-0.003448166,0.23138679,0.019979914,0.128144175,-0.666125839,9.03E-05,0.113173231,0.104522757,0.092741925,0.026867317,0.355434092,13.52050113,0.097044022,0.115062673,0.108459252,0.101548109,0.104988857,0.101651755,0.996557773,1.260346634,1.020180848,1.136716876,0.339364872,83377.15453,#NAME?
-9.129825708,-2.275967122,-2.325580091,-2.478990588,-3.472126528,-1.003247966,2.687507647,-2.429051997,-2.258520642,-2.095903928,-2.156894204,-2.521863775,-2.28874657,0.070004223,-0.098305341,0.068864467,-0.16555171,-0.747464598,0.000108384,0.102697539,0.097726737,0.0838278,0.03105093,0.36668652,14.69500509,0.088120331,0.104504971,0.122959047,0.115683854,0.080309788,0.101393472,1.072512711,0.906372109,1.071291004,0.847426042,0.321374003,83379.07029,#NAME?
-9.190733507,-2.404726494,-2.368107391,-2.101938871,-3.723418093,-1.149646822,2.728891903,-2.626433838,-2.445877599,-2.305984571,-2.27624327,-2.19359374,-2.429670014,-0.018158728,0.145622534,-0.202863863,0.038624464,-0.353316062,0.00010198,0.090290187,0.093657816,0.122219231,0.024151275,0.316748618,15.31590611,0.072335965,0.086650057,0.099660629,0.102669184,0.111515271,0.088065888,0.982005149,1.156759469,0.816389374,1.039380086,0.412578516,83376.68898,#NAME?
-9.307874016,-2.401167258,-2.442784067,-2.437220393,-3.637932942,-1.002953319,2.62699715,-2.429937705,-2.218863838,-2.263074414,-2.500255925,-2.248439971,-2.490372081,-0.032014592,0.096773671,-0.027982806,-0.217596638,-0.379074692,9.07E-05,0.090612124,0.086918527,0.087403461,0.026306665,0.366794578,13.83217154,0.088042317,0.108732576,0.104030161,0.082063994,0.105563779,0.082879123,0.96849245,1.101611019,0.972405086,0.80444986,0.406350089,83377.54503,#NAME?
-9.068806369,-2.311690364,-2.032973757,-2.388696529,-3.529040749,-0.945041741,2.712433754,-2.205048241,-2.239975192,-2.535748327,-2.231365649,-2.128745575,-2.408901899,0.039084725,-0.141621617,0.131225913,-0.227553573,-0.202182164,0.000115204,0.099093606,0.130945541,0.091749198,0.02933304,0.388663347,15.06589762,0.110245207,0.106461145,0.079202428,0.107381684,0.11898646,0.089913975,1.039858581,0.867949612,1.140225344,0.79647975,0.44962594,83374.58472,#NAME?
-9.171752177,-2.404075732,-2.280012426,-2.313438295,-3.311975364,-0.991187799,2.746641809,-2.385559409,-2.619409746,-2.204702976,-2.438503903,-2.18114111,-2.341851116,0.052163815,-0.043244746,0.035923569,-0.092791339,-1.447826262,0.000103934,0.090348964,0.102282936,0.098920548,0.036444112,0.371135594,15.59018905,0.092037479,0.072845848,0.110283277,0.08729135,0.112912611,0.09614949,1.053548315,0.957676974,1.036576616,0.911383651,0.190336332,83361.85531,#NAME?
-9.067127146,-2.135479171,-2.117351822,-2.156000604,-3.428363837,-1.067293903,2.758847497,-2.411387054,-2.012125316,-2.487444207,-2.373771915,-2.25766736,-2.330076593,0.038092107,-0.096196756,0.102268251,-0.02737984,-0.817787824,0.000115398,0.118187945,0.120349915,0.115787275,0.032439974,0.343937989,15.78164407,0.089690802,0.133704209,0.083122138,0.093128789,0.104594181,0.097288295,1.038826912,0.908285288,1.107680568,0.97299159,0.306233445,83369.85825,#NAME?
-9.202060627,-2.180003935,-2.218201642,-2.199140013,-3.473902233,-0.922114633,2.656432739,-2.177688027,-2.246266074,-2.334059813,-2.273305749,-2.455563691,-2.376008485,-0.00394389,-0.114296698,0.157829103,-0.030929795,-0.857109039,0.000100831,0.113041086,0.108804603,0.110898489,0.030995841,0.39767721,14.24538135,0.113303182,0.105793513,0.096901545,0.10297122,0.085814809,0.092920733,0.996063877,0.891993264,1.170966063,0.969543638,0.297943704,83374.94672,#NAME?
-9.079418277,-2.269590819,-2.333199057,-2.554929105,-3.552574482,-0.918189578,2.701772333,-2.29120138,-2.27006731,-2.382058553,-2.218243127,-2.644955651,-2.184920454,0.022479965,-0.204531644,-0.084737777,-0.105994855,-0.576413394,0.000113988,0.103354462,0.09698499,0.07769774,0.028650784,0.399241182,14.90612694,0.101144875,0.103305226,0.092360253,0.108800089,0.071008503,0.112486681,1.022734544,0.815028951,0.918753171,0.899429275,0.359758288,83378.82748,#NAME?
-9.067513953,-2.217317708,-2.34931439,-2.256581337,-3.653232203,-1.122463543,2.700317239,-2.310348536,-2.425394803,-2.510746935,-2.38564019,-2.238393038,-2.217807623,-0.021184209,-0.046498136,0.123302337,-0.166398622,-0.438744499,0.000115353,0.108900821,0.095434571,0.104707834,0.025907256,0.32547698,14.88445291,0.099226661,0.088443195,0.08120756,0.092030044,0.106629717,0.108847482,0.9790386,0.95456634,1.131226381,0.84670865,0.392040171,83373.38225,#NAME?
